UWW_LINEUP,MinutesOnCourt,UWW_PTS_SCORED,OPP_PTS_SCORED,UWW_PLUS_MINUS,UWW_ASST_TURN,UWW_REBOUNDING
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;KELLEY,JAMES",48.43,74,64,10,0,5
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON",16.12,35,24,11,4,5
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;KELLEY,JAMES;VERGES,ISAAC",13.59,36,25,11,1,5
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;LAMBERT,ELIJAH;VERGES,ISAAC",9.58,31,28,3,1,4
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;LAMBERT,ELIJAH",8.81,30,14,16,4,6
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;LAMBERT,ELIJAH",8.33,14,19,-5,3,1
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;KELLEY,JAMES",7.1,10,12,-2,-2,6
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;KELLEY,JAMES",6.68,11,15,-4,1,-1
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;LAMBERT,ELIJAH;VERGES,ISAAC",6.07,11,8,3,1,0
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;KELLEY,JAMES",5.68,11,7,4,0,-1
"BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;LAMBERT,ELIJAH;VERGES,ISAAC",5.55,16,5,11,2,6
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;KELLEY,JAMES;LAMBERT,ELIJAH",5.44,10,3,7,-1,3
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;LAMBERT,ELIJAH",5.3,10,10,0,0,0
"BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;KELLEY,JAMES;VERGES,ISAAC",5.2700000000000005,8,4,4,-1,2
"BARKER,JAMEER;BARNSTABLE,MILES;CHISLOM,TREVON;KELLEY,JAMES;LAMBERT,ELIJAH",5.18,12,12,0,-1,-2
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;KELLEY,JAMES;LAMBERT,ELIJAH",5.140000000000001,9,11,-2,-1,2
"BARNSTABLE,MILES;CAPSTRAN,CARTER;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",5.03,11,10,1,1,2
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;VERGES,ISAAC",4.37,8,15,-7,-2,0
"BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;LAMBERT,ELIJAH;VERGES,ISAAC",4.24,10,9,1,-1,2
"BARKER,JAMEER;BARNSTABLE,DELVIN;CHISLOM,TREVON;FISHER,DREW;LAMBERT,ELIJAH",3.44,7,7,0,0,0
"BARKER,JAMEER;BARNSTABLE,DELVIN;CHISLOM,TREVON;FISHER,DREW;KELLEY,JAMES",3.29,4,6,-2,1,-1
"BARKER,JAMEER;BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;KELLEY,JAMES",3.02,13,8,5,-2,5
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;KELLEY,JAMES",2.99,11,1,10,4,2
"BEREZOWITZ,JOEY;MCCRAY,CLIFF;PYTLESKI,WILL;QUAST,JAKE;VERGES,ISAAC",2.97,3,5,-2,0,3
"BARKER,JAMEER;CAPSTRAN,CARTER;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",2.84,3,6,-3,-1,-2
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",2.79,10,0,10,3,3
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;KELLEY,JAMES",2.7600000000000002,7,4,3,0,2
"BARKER,JAMEER;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;KELLEY,JAMES",2.73,4,10,-6,0,-1
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;FISHER,DREW;VERGES,ISAAC",2.72,5,8,-3,-2,-3
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;FISHER,DREW",2.7199999999999998,4,4,0,-2,-1
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;MARINO,BROCK;VERGES,ISAAC",2.7,2,2,0,-1,-1
"BARKER,JAMEER;BARNSTABLE,DELVIN;CHISLOM,TREVON;KELLEY,JAMES;VERGES,ISAAC",2.52,2,4,-2,-2,2
"BARKER,JAMEER;BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;LAMBERT,ELIJAH",2.4,6,2,4,1,1
"BARNSTABLE,MILES;BEREZOWITZ,JOEY;CAPSTRAN,CARTER;FISHER,DREW;KELLEY,JAMES",2.29,0,8,-8,0,-3
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;HOYTINK,JT;LAMBERT,ELIJAH",2.2800000000000002,2,2,0,-1,3
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;FISHER,DREW;LAMBERT,ELIJAH",2.1799999999999997,7,0,7,1,2
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;FISHER,DREW;LAMBERT,ELIJAH",2.17,6,2,4,0,1
"BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;KELLEY,JAMES;LAMBERT,ELIJAH",2.11,2,6,-4,0,-3
"BARKER,JAMEER;CAPSTRAN,CARTER;FISHER,DREW;LAMBERT,ELIJAH;VERGES,ISAAC",2.01,2,5,-3,-2,2
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;KELLEY,JAMES;VERGES,ISAAC",2.0,5,1,4,0,1
"BARKER,JAMEER;CAPSTRAN,CARTER;CHISLOM,TREVON;KELLEY,JAMES;VERGES,ISAAC",1.96,2,2,0,0,0
"BARKER,JAMEER;CHISLOM,TREVON;FISHER,DREW;KELLEY,JAMES;LAMBERT,ELIJAH",1.95,5,2,3,1,-1
"CHESTNUT,DARIUS;LUKENBILL,JR;MCCRAY,CLIFF;PYTLESKI,WILL;QUAST,JAKE",1.91,0,3,-3,0,-1
"BARKER,JAMEER;CHISLOM,TREVON;FISHER,DREW;LAMBERT,ELIJAH;LUKENBILL,JR",1.9000000000000001,0,9,-9,-1,-3
"BARNSTABLE,DELVIN;BEREZOWITZ,JOEY;CHISLOM,TREVON;KELLEY,JAMES;LAMBERT,ELIJAH",1.9,7,2,5,2,2
"BARNSTABLE,MILES;CHISLOM,TREVON;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",1.87,5,9,-4,-2,0
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;QUAST,JAKE;VERGES,ISAAC",1.86,7,4,3,0,-2
"BARKER,JAMEER;BARNSTABLE,MILES;HOYTINK,JT;PYTLESKI,WILL;QUAST,JAKE",1.81,2,5,-3,0,1
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;HOYTINK,JT;KELLEY,JAMES;LAMBERT,ELIJAH",1.8,3,3,0,-1,1
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;FISHER,DREW;KELLEY,JAMES",1.8,2,5,-3,1,-3
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;BEREZOWITZ,JOEY;CHISLOM,TREVON;LAMBERT,ELIJAH",1.77,6,2,4,0,2
"BARKER,JAMEER;CHISLOM,TREVON;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",1.76,5,0,5,1,2
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",1.74,6,8,-2,2,0
"BARNSTABLE,MILES;CAPSTRAN,CARTER;FISHER,DREW;HOYTINK,JT;KELLEY,JAMES",1.67,4,6,-2,-1,2
"BARNSTABLE,DELVIN;CAPSTRAN,CARTER;HOYTINK,JT;KELLEY,JAMES;VERGES,ISAAC",1.5699999999999998,0,2,-2,-1,1
"CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH;VERGES,ISAAC",1.49,5,3,2,2,2
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;FISHER,DREW;KELLEY,JAMES",1.48,4,0,4,0,-3
"BARKER,JAMEER;BARNSTABLE,DELVIN;CHISLOM,TREVON;LAMBERT,ELIJAH;VERGES,ISAAC",1.34,4,5,-1,1,1
"BEREZOWITZ,JOEY;HOYTINK,JT;MADSON,COLLIN;PYTLESKI,WILL;QUAST,JAKE",1.34,2,0,2,0,3
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;HOYTINK,JT;LAMBERT,ELIJAH",1.32,3,0,3,-1,1
"BARKER,JAMEER;BARNSTABLE,DELVIN;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",1.3199999999999998,3,0,3,1,1
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;KELLEY,JAMES",1.28,2,2,0,0,1
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;FISHER,DREW;KELLEY,JAMES;LAMBERT,ELIJAH",1.17,3,2,1,0,-2
"CHESTNUT,DARIUS;LUKENBILL,JR;LYNCH,TRISTIAN;MADSON,COLLIN;MARINO,BROCK",1.09,3,0,3,0,3
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT",0.96,0,0,0,0,0
"BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;HOYTINK,JT;KELLEY,JAMES",0.8200000000000001,2,2,0,-2,1
"BARKER,JAMEER;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",0.77,0,0,0,-1,0
"BARNSTABLE,MILES;FISHER,DREW;KELLEY,JAMES;PYTLESKI,WILL;VERGES,ISAAC",0.72,2,0,2,0,-1
"BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;HOYTINK,JT;LAMBERT,ELIJAH",0.7,3,4,-1,1,-1
"BARNSTABLE,MILES;CHISLOM,TREVON;KELLEY,JAMES;PYTLESKI,WILL;VERGES,ISAAC",0.63,2,0,2,1,2
"CAPSTRAN,CARTER;HOYTINK,JT;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",0.6,0,2,-2,0,-1
"BARKER,JAMEER;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;VERGES,ISAAC",0.5800000000000001,3,2,1,1,0
"BARNSTABLE,MILES;FISHER,DREW;LAMBERT,ELIJAH;PYTLESKI,WILL;VERGES,ISAAC",0.55,3,0,3,0,1
"BARKER,JAMEER;CAPSTRAN,CARTER;CHISLOM,TREVON;LAMBERT,ELIJAH;VERGES,ISAAC",0.38,0,2,-2,0,0
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;BEREZOWITZ,JOEY;CAPSTRAN,CARTER;FISHER,DREW",0.35,0,0,0,-1,0
"BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW;LAMBERT,ELIJAH;LUKENBILL,JR",0.35,3,0,3,0,0
"BARKER,JAMEER;BARNSTABLE,DELVIN;CAPSTRAN,CARTER;FISHER,DREW;KELLEY,JAMES",0.27,0,2,-2,0,0
"BARKER,JAMEER;BARNSTABLE,DELVIN;BARNSTABLE,MILES;CHISLOM,TREVON;FISHER,DREW",0.27,0,0,0,0,-1
"BARNSTABLE,DELVIN;HOYTINK,JT;KELLEY,JAMES;LAMBERT,ELIJAH;VERGES,ISAAC",0.18,0,1,-1,0,0
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;HOYTINK,JT;KELLEY,JAMES",0.16,1,0,1,0,-1
"BARKER,JAMEER;BARNSTABLE,MILES;FISHER,DREW;HOYTINK,JT;VERGES,ISAAC",0.15,2,0,2,0,0
"BARNSTABLE,DELVIN;BARNSTABLE,MILES;CAPSTRAN,CARTER;CHISLOM,TREVON;LAMBERT,ELIJAH",0.0,0,2,-2,0,0
"LUKENBILL,JR;MCCRAY,CLIFF;PYTLESKI,WILL;QUAST,JAKE;VERGES,ISAAC",0.0,1,0,1,0,0
